in:FloorCount,in:Area,in:Aspect_Ratio,in:Offset,in:Orientation,in:Height,in:Window_Wall_Ratio,in:Window_Height,in:Sill_Height,in:Infiltration,in:R_value_Wall,in:R_value_Roof,in:Glazing_Type,in:Shading_depth,in:Outside_Air_Core,in:Outside_Air_Perimeter,in:Internal_Load_Core,in:Internal_Load_Perimeter,in:Comfort_Range,in:HVAC_Systems,out:unmet_cooling_hours,out:eui,out:lighting_power_density,out:daylight_factor,out:heating,out:unmet_heating_hours,out:cooling
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,812.57,10.7639,0.25,613.22,259.0,156.84
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,400.23,10.7639,0.25,173.56,186.67,72.25
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,143.67,658.9,10.7639,0.25,453.72,272.5,128.64
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,675.15,10.7639,0.25,461.85,427.0,144.43
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,316.32,10.7639,0.25,94.73,177.83,67.64
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,113.83,407.83,10.7639,0.25,167.97,196.83,124.19
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,755.64,10.7639,0.25,554.93,427.0,150.32
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,365.16,10.7639,0.25,136.31,181.67,69.48
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,96.33,638.66,10.7639,0.25,436.66,238.5,124.58
1,1250,1,4,0,4,50,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,837.14,10.7639,0.25,604.76,251.17,175.62
1,1250,1,4,0,4,50,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,891.39,10.7639,0.25,662.6,251.17,183.68
1,1250,1,4,0,4,50,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,781.17,10.7639,0.25,545.34,408.0,170.54
1,1250,1,4,0,4,50,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,837.86,10.7639,0.25,606.84,408.0,178.07
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,837.14,10.7639,0.25,604.76,251.17,175.62
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,891.39,10.7639,0.25,662.6,251.17,183.68
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,781.17,10.7639,0.25,545.34,408.0,170.54
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,837.86,10.7639,0.25,606.84,408.0,178.07
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,43.83,613.31,10.7639,0.25,429.96,275.67,118.92
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,306.88,10.7639,0.25,120.86,194.67,52.6
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,147.5,382.06,10.7639,0.25,182.52,363.5,94.65
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,43.83,725.16,10.7639,0.25,562.61,275.67,124.41
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,358.33,10.7639,0.25,163.95,193.67,55.43
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,102.67,615.23,10.7639,0.25,450.7,395.5,98.48
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,101.0,544.1,10.7639,0.25,359.19,449.0,111.0
